x_m,eta_initial_m,eta_ader_dg_m,q_initial_m2_s,q_ader_dg_m2_s,b_initial_m,b_ader_dg_m,h_ader_dg_m
0.8249999999999997,4.84751,4.487853606381996,4.34297,2.2346872814491983,2.84751,2.834743932956625,1.6531096734253707
0.9749999999999996,4.84751,4.487847355954562,4.34297,2.234637171695536,2.84751,2.8348847449437398,1.6529626110108224
1.1249999999999998,4.84751,4.487829980979598,4.34297,2.2345533235902235,2.84751,2.834858501655948,1.6529714793236496
1.2749999999999997,4.84751,4.487809073067508,4.34297,2.234438439973067,2.84751,2.8348553536390284,1.6529537194284796
1.4249999999999996,4.84751,4.487806134581152,4.34297,2.234435684155414,2.84751,2.8348480071386546,1.6529581274424978
1.5749999999999997,4.84751,4.4877929977042745,4.34297,2.2344347851691313,2.84751,2.8348699506874837,1.6529230470167908
1.7249999999999996,4.84751,4.487798625818851,4.34297,2.234381328351485,2.84751,2.834862573896955,1.6529360519218956
1.8749999999999996,4.84751,4.4877978911418905,4.34297,2.2343829743065884,2.84751,2.8348589895263556,1.652938901615535
2.025,4.84751,4.487786793649003,4.34297,2.2343899167239,2.84751,2.83486589631529,1.652920897333713
2.175,4.84751,4.487786977195418,4.34297,2.234343304508823,2.84751,2.8348593264335773,1.6529276507618405
2.3249999999999997,4.84751,4.487789061075339,4.34297,2.2342834200397563,2.84751,2.8348544860678833,1.6529345750074556
2.4749999999999996,4.84751,4.487765101745041,4.34297,2.234285507442391,2.84751,2.834872804544837,1.6528922972002045
2.625,4.84751,4.487758226344033,4.34297,2.2342304610350174,2.84751,2.8348572425122334,1.6529009838317994
2.7749999999999995,4.84751,4.487764568567012,4.34297,2.2341370698647185,2.84751,2.8348636695475746,1.652900899019437
2.925,4.84751,4.487746038912363,4.34297,2.2341222778516463,2.84751,2.834860790365378,1.6528852485469847
3.0749999999999997,4.84751,4.4877373697180225,4.34297,2.2340856604480144,2.84751,2.834858640795097,1.6528787289229254
3.2249999999999996,4.84751,4.487731678896473,4.34297,2.2340551238587634,2.84751,2.8348622049919414,1.652869473904532
3.3749999999999996,4.84751,4.487733910753539,4.34297,2.234013954447085,2.84751,2.834853502256767,1.6528804084967716
3.525,4.84751,4.487713924287742,4.34297,2.2339754509358283,2.84751,2.8348621474185145,1.6528517768692272
3.6749999999999994,4.84751,4.487705184146976,4.34297,2.233910455317393,2.84751,2.834863786406542,1.652841397740434
3.825,4.84751,4.487693610474275,4.34297,2.233856394569413,2.84751,2.834853141504765,1.6528404689695098
3.974999999999999,4.84751,4.487681951995476,4.34297,2.2338071577175236,2.84751,2.83486257277351,1.6528193792219654
4.124999999999999,4.84751,4.487689475701855,4.34297,2.2337136830362154,2.84751,2.834858087127358,1.6528313885744974
4.2749999999999995,4.84751,4.487661770226405,4.34297,2.2337048929204175,2.84751,2.8348622710856186,1.652799499140786
4.425,4.84751,4.4876517531062285,4.34297,2.2336511321218744,2.84751,2.8348542166972885,1.65279753640894
4.575,4.84751,4.487645120945671,4.34297,2.233584897534856,2.84751,2.834861015461553,1.652784105484118
4.725,4.84751,4.4876366644229195,4.34297,2.23354049616177,2.84751,2.8348617250048704,1.652774939418049
4.874999999999999,4.84751,4.48763724696728,4.34297,2.233506928983999,2.84751,2.8348513642817914,1.6527858826854884
5.0249999999999995,4.84751,4.487625350825086,4.34297,2.2335189177005232,2.84751,2.8348603659090608,1.652764984916025
5.175,4.84751,4.487629646251404,4.34297,2.233512789355052,2.84751,2.834855174060918,1.6527744721904858
5.324999999999999,4.84751,4.487631076533839,4.34297,2.2335377173266524,2.84751,2.8348607587493393,1.6527703177845
5.475,4.84751,4.487641076158312,4.34297,2.2335256328333757,2.84751,2.8348559219292526,1.652785154229059
5.625,4.84751,4.487634527347659,4.34297,2.233480831941935,2.84751,2.8348612381380094,1.6527732892096494
5.775,4.84751,4.4876126982856155,4.34297,2.233451091721686,2.84751,2.8348556574100297,1.6527570408755858
5.925,4.84751,4.487608549499431,4.34297,2.2333898523733495,2.84751,2.834855228903428,1.6527533205960028
6.074999999999999,4.84751,4.487597755543756,4.34297,2.2333443502801194,2.84751,2.8348590010061523,1.6527387545376033
6.225,4.84751,4.487582941010168,4.34297,2.233285199089061,2.84751,2.8348560090831776,1.6527269319269906
6.375,4.84751,4.487577875140064,4.34297,2.2331655002747253,2.84751,2.8348575695273057,1.6527203056127586
6.525,4.84751,4.4875524194143726,4.34297,2.2330759572548025,2.84751,2.834857080580801,1.6526953388335714
6.675,4.84751,4.487527183858025,4.34297,2.2329985536433257,2.84751,2.8348517471597807,1.6526754366982441
6.824999999999999,4.84751,4.487521159735726,4.34297,2.2329117657413784,2.84751,2.8348584529916816,1.6526627067440445
6.975,4.84751,4.487511469530066,4.34297,2.2329006182684106,2.84751,2.8348500393731704,1.6526614301568956
7.125,4.84751,4.487515457244972,4.34297,2.23288333516545,2.84751,2.8348555247417124,1.6526599325032594
7.2749999999999995,4.84751,4.487510381103918,4.34297,2.2328793409887466,2.84751,2.83485363555982,1.6526567455440975
7.425,4.84751,4.48749982239564,4.34297,2.23285579477036,2.84751,2.8348580572984265,1.6526417650972136
7.575,4.84751,4.487501255339955,4.34297,2.2327986309503234,2.84751,2.834852491064476,1.6526487642754795
7.7250000000000005,4.84751,4.487496929422168,4.34297,2.2327574917655437,2.84751,2.834856655477142,1.6526402739450257
7.875,4.84751,4.487484758430392,4.34297,2.2327453084512965,2.84751,2.8348564993596144,1.6526282590707773
8.025,4.84751,4.4874724009165705,4.34297,2.2327586296308057,2.84751,2.8348542953551954,1.6526181055613751
8.175,4.84751,4.48748997051308,4.34297,2.232698753504916,2.84751,2.8348450155714606,1.6526449549416191
8.325,4.84751,4.487475018180938,4.34297,2.2326495032973677,2.84751,2.8348553658284024,1.652619652352536
8.475,4.84751,4.4874404274154465,4.34297,2.2325274812544462,2.84751,2.8348574012162304,1.652583026199216
8.625,4.84751,4.487410726284768,4.34297,2.2323666930626067,2.84751,2.83485409316232,1.652556633122448
8.774999999999999,4.84751,4.4874109345872295,4.34297,2.232343101099295,2.84751,2.8348513724880293,1.6525595620992002
8.924999999999999,4.84751,4.487440934873941,4.34297,2.2325010019300917,2.84751,2.8348554841164697,1.6525854507574715
9.075,4.84751,4.487490118156158,4.34297,2.2327710812022343,2.84751,2.8348507225226385,1.6526393956335195
9.225,4.84751,4.487536070800261,4.34297,2.233051932154743,2.84751,2.8348567325907217,1.6526793382095395
9.375,4.84751,4.4875566040069925,4.34297,2.233079387705522,2.84751,2.834857928511034,1.6526986754959587
9.525,4.84751,4.487463783911705,4.34297,2.2326121690105034,2.84751,2.8348535678001157,1.6526102161115896
9.675,4.84751,4.487251045090698,4.34297,2.231476856778507,2.84751,2.8348468109396223,1.6524042341510756
9.825000000000001,4.84751,4.487034342502529,4.34297,2.2303379882063705,2.84751,2.8348390688207825,1.6521952736817465
9.975000000000001,4.84751,4.486964795216164,4.34297,2.2299887712230464,2.84751,2.834845900945616,1.6521188942705485
10.125,4.84751,4.486970767270077,4.34297,2.2300610543811645,2.84751,2.834839234001549,1.6521315332685282
10.274999999999999,4.84751,4.486955054192873,4.34297,2.229858469584979,2.84751,2.8348434614020817,1.6521115927907917
10.424999999999999,4.84751,4.486945801018044,4.34297,2.22992101174048,2.84751,2.8348447351898525,1.6521010658281918
10.575,4.84751,4.488467909065226,4.34297,2.237947790262266,2.84751,2.8348762927035276,1.6535916163616982
10.725,4.84751,4.495410077184282,4.34297,2.2748024307023873,2.84751,2.8350489907272807,1.660361086457001
10.875,4.84751,4.507843021926239,4.34297,2.341240602705851,2.84751,2.835360779756911,1.6724822421693277
11.025,4.84751,4.523343033006849,4.34297,2.4247771761982144,2.84751,2.8357633280141203,1.687579704992729
11.175,4.84751,4.54034592337343,4.34297,2.5173666781372153,2.84751,2.8362292966312643,1.7041166267421652
11.325,4.84751,4.558274373479382,4.34297,2.615802170870209,2.84751,2.836720808854921,1.7215535646244606
11.475,4.84751,4.576796578407583,4.34297,2.7187874563808854,2.84751,2.837273121927782,1.7395234564798012
11.625,4.84751,4.595782430944543,4.34297,2.8254257531071696,2.84751,2.8378424505099984,1.7579399804345446
11.775,4.84751,4.615143534053564,4.34297,2.9352932630859083,2.84751,2.8384546453702075,1.7766888886833563
11.925,4.84751,4.6347979652522975,4.34297,3.0480511280841722,2.84751,2.839104551416666,1.7956934138356315
12.075,4.84751,4.654687246483278,4.34297,3.1633459751635313,2.84751,2.839772594493303,1.8149146519899753
12.225,4.84751,4.674750817352803,4.34297,3.2809303216540817,2.84751,2.840478148900821,1.8342726684519817
12.375,4.84751,4.694951944983024,4.34297,3.4003998087497407,2.84751,2.841209959520934,1.85374198546209
12.524999999999999,4.84751,4.7152080643956955,4.34297,3.5216684749961895,2.84751,2.8419706754790366,1.873237388916659
12.674999999999999,4.84751,4.735531475779762,4.34297,3.6443137282114986,2.84751,2.8427531972377293,1.8927782785420328
12.825,4.84751,4.755822916711035,4.34297,3.768331943868608,2.84751,2.8435657564090544,1.912257160301981
12.975,4.84751,4.776042093713976,4.34297,3.8928429089247736,2.84751,2.8443926105302575,1.931649483183718
13.125,4.84751,4.795988680555811,4.34297,4.017073388920079,2.84751,2.8452307015609217,1.9507579789948895
13.275,4.84751,4.815244287758395,4.34297,4.137813507928282,2.84751,2.846073907383695,1.9691703803746998
13.425,4.84751,4.832601630239144,4.34297,4.247612169229405,2.84751,2.84683997575209,1.985761654487054
13.575000000000001,4.84751,4.844701234070719,4.34297,4.324411343498924,2.84751,2.8473841136259774,1.9973171204447415
